등록시간,회원구분,회원매칭,신청자,면허번호,시군의사회,병원명,휴대전화,이메일,결제정보,거래번호,결제 금액,결제 진행 상태,결제 방식,등록 신청 일자,등록번호,식별기준,기본금액,선택금액,선택항목내역,등록상태,필수평점,일반평점,관리자메모
1_1,2_1,3_1,테001,4_1,5_1,6_1,010-0000-0000,7_1,8_1,9_1,10_1,11_1,12_1,13_1,14_1,15_1,16_1,17_1,18_1,19_1,20_1,21_1,22_1
1_2,2_2,3_2,테002,4_2,5_2,6_2,010-0000-0001,7_2,8_2,9_2,10_2,11_2,12_2,13_2,14_2,15_2,16_2,17_2,18_2,19_2,20_2,21_2,22_2
1_3,2_3,3_3,테003,4_3,5_3,6_3,010-0000-0002,7_3,8_3,9_3,10_3,11_3,12_3,13_3,14_3,15_3,16_3,17_3,18_3,19_3,20_3,21_3,22_3
1_4,2_4,3_4,테004,4_4,5_4,6_4,010-0000-0003,7_4,8_4,9_4,10_4,11_4,12_4,13_4,14_4,15_4,16_4,17_4,18_4,19_4,20_4,21_4,22_4
1_5,2_5,3_5,테005,4_5,5_5,6_5,010-0000-0004,7_5,8_5,9_5,10_5,11_5,12_5,13_5,14_5,15_5,16_5,17_5,18_5,19_5,20_5,21_5,22_5
1_6,2_6,3_6,테006,4_6,5_6,6_6,010-0000-0005,7_6,8_6,9_6,10_6,11_6,12_6,13_6,14_6,15_6,16_6,17_6,18_6,19_6,20_6,21_6,22_6
1_7,2_7,3_7,테007,4_7,5_7,6_7,010-0000-0006,7_7,8_7,9_7,10_7,11_7,12_7,13_7,14_7,15_7,16_7,17_7,18_7,19_7,20_7,21_7,22_7
1_8,2_8,3_8,테008,4_8,5_8,6_8,010-0000-0007,7_8,8_8,9_8,10_8,11_8,12_8,13_8,14_8,15_8,16_8,17_8,18_8,19_8,20_8,21_8,22_8
1_9,2_9,3_9,테009,4_9,5_9,6_9,010-0000-0008,7_9,8_9,9_9,10_9,11_9,12_9,13_9,14_9,15_9,16_9,17_9,18_9,19_9,20_9,21_9,22_9
1_10,2_10,3_10,테010,4_10,5_10,6_10,010-0000-0009,7_10,8_10,9_10,10_10,11_10,12_10,13_10,14_10,15_10,16_10,17_10,18_10,19_10,20_10,21_10,22_10
1_11,2_11,3_11,테011,4_11,5_11,6_11,010-0000-0010,7_11,8_11,9_11,10_11,11_11,12_11,13_11,14_11,15_11,16_11,17_11,18_11,19_11,20_11,21_11,22_11
1_12,2_12,3_12,테012,4_12,5_12,6_12,010-0000-0011,7_12,8_12,9_12,10_12,11_12,12_12,13_12,14_12,15_12,16_12,17_12,18_12,19_12,20_12,21_12,22_12
1_13,2_13,3_13,테013,4_13,5_13,6_13,010-0000-0012,7_13,8_13,9_13,10_13,11_13,12_13,13_13,14_13,15_13,16_13,17_13,18_13,19_13,20_13,21_13,22_13
1_14,2_14,3_14,테014,4_14,5_14,6_14,010-0000-0013,7_14,8_14,9_14,10_14,11_14,12_14,13_14,14_14,15_14,16_14,17_14,18_14,19_14,20_14,21_14,22_14
1_15,2_15,3_15,테015,4_15,5_15,6_15,010-0000-0014,7_15,8_15,9_15,10_15,11_15,12_15,13_15,14_15,15_15,16_15,17_15,18_15,19_15,20_15,21_15,22_15
1_16,2_16,3_16,테016,4_16,5_16,6_16,010-0000-0015,7_16,8_16,9_16,10_16,11_16,12_16,13_16,14_16,15_16,16_16,17_16,18_16,19_16,20_16,21_16,22_16
1_17,2_17,3_17,테017,4_17,5_17,6_17,010-0000-0016,7_17,8_17,9_17,10_17,11_17,12_17,13_17,14_17,15_17,16_17,17_17,18_17,19_17,20_17,21_17,22_17
1_18,2_18,3_18,테018,4_18,5_18,6_18,010-0000-0017,7_18,8_18,9_18,10_18,11_18,12_18,13_18,14_18,15_18,16_18,17_18,18_18,19_18,20_18,21_18,22_18
1_19,2_19,3_19,테019,4_19,5_19,6_19,010-0000-0018,7_19,8_19,9_19,10_19,11_19,12_19,13_19,14_19,15_19,16_19,17_19,18_19,19_19,20_19,21_19,22_19
1_20,2_20,3_20,테020,4_20,5_20,6_20,010-0000-0019,7_20,8_20,9_20,10_20,11_20,12_20,13_20,14_20,15_20,16_20,17_20,18_20,19_20,20_20,21_20,22_20
1_21,2_21,3_21,테021,4_21,5_21,6_21,010-0000-0020,7_21,8_21,9_21,10_21,11_21,12_21,13_21,14_21,15_21,16_21,17_21,18_21,19_21,20_21,21_21,22_21
1_22,2_22,3_22,테022,4_22,5_22,6_22,010-0000-0021,7_22,8_22,9_22,10_22,11_22,12_22,13_22,14_22,15_22,16_22,17_22,18_22,19_22,20_22,21_22,22_22
1_23,2_23,3_23,테023,4_23,5_23,6_23,010-0000-0022,7_23,8_23,9_23,10_23,11_23,12_23,13_23,14_23,15_23,16_23,17_23,18_23,19_23,20_23,21_23,22_23
1_24,2_24,3_24,테024,4_24,5_24,6_24,010-0000-0023,7_24,8_24,9_24,10_24,11_24,12_24,13_24,14_24,15_24,16_24,17_24,18_24,19_24,20_24,21_24,22_24
1_25,2_25,3_25,테025,4_25,5_25,6_25,010-0000-0024,7_25,8_25,9_25,10_25,11_25,12_25,13_25,14_25,15_25,16_25,17_25,18_25,19_25,20_25,21_25,22_25
1_26,2_26,3_26,테026,4_26,5_26,6_26,010-0000-0025,7_26,8_26,9_26,10_26,11_26,12_26,13_26,14_26,15_26,16_26,17_26,18_26,19_26,20_26,21_26,22_26
1_27,2_27,3_27,테027,4_27,5_27,6_27,010-0000-0026,7_27,8_27,9_27,10_27,11_27,12_27,13_27,14_27,15_27,16_27,17_27,18_27,19_27,20_27,21_27,22_27
1_28,2_28,3_28,테028,4_28,5_28,6_28,010-0000-0027,7_28,8_28,9_28,10_28,11_28,12_28,13_28,14_28,15_28,16_28,17_28,18_28,19_28,20_28,21_28,22_28
1_29,2_29,3_29,테029,4_29,5_29,6_29,010-0000-0028,7_29,8_29,9_29,10_29,11_29,12_29,13_29,14_29,15_29,16_29,17_29,18_29,19_29,20_29,21_29,22_29
1_30,2_30,3_30,테030,4_30,5_30,6_30,010-0000-0029,7_30,8_30,9_30,10_30,11_30,12_30,13_30,14_30,15_30,16_30,17_30,18_30,19_30,20_30,21_30,22_30
1_31,2_31,3_31,테031,4_31,5_31,6_31,010-0000-0030,7_31,8_31,9_31,10_31,11_31,12_31,13_31,14_31,15_31,16_31,17_31,18_31,19_31,20_31,21_31,22_31
1_32,2_32,3_32,테032,4_32,5_32,6_32,010-0000-0031,7_32,8_32,9_32,10_32,11_32,12_32,13_32,14_32,15_32,16_32,17_32,18_32,19_32,20_32,21_32,22_32
1_33,2_33,3_33,테033,4_33,5_33,6_33,010-0000-0032,7_33,8_33,9_33,10_33,11_33,12_33,13_33,14_33,15_33,16_33,17_33,18_33,19_33,20_33,21_33,22_33
1_34,2_34,3_34,테034,4_34,5_34,6_34,010-0000-0033,7_34,8_34,9_34,10_34,11_34,12_34,13_34,14_34,15_34,16_34,17_34,18_34,19_34,20_34,21_34,22_34
1_35,2_35,3_35,테035,4_35,5_35,6_35,010-0000-0034,7_35,8_35,9_35,10_35,11_35,12_35,13_35,14_35,15_35,16_35,17_35,18_35,19_35,20_35,21_35,22_35
1_36,2_36,3_36,테036,4_36,5_36,6_36,010-0000-0035,7_36,8_36,9_36,10_36,11_36,12_36,13_36,14_36,15_36,16_36,17_36,18_36,19_36,20_36,21_36,22_36
1_37,2_37,3_37,테037,4_37,5_37,6_37,010-0000-0036,7_37,8_37,9_37,10_37,11_37,12_37,13_37,14_37,15_37,16_37,17_37,18_37,19_37,20_37,21_37,22_37
1_38,2_38,3_38,테038,4_38,5_38,6_38,010-0000-0037,7_38,8_38,9_38,10_38,11_38,12_38,13_38,14_38,15_38,16_38,17_38,18_38,19_38,20_38,21_38,22_38
1_39,2_39,3_39,테039,4_39,5_39,6_39,010-0000-0038,7_39,8_39,9_39,10_39,11_39,12_39,13_39,14_39,15_39,16_39,17_39,18_39,19_39,20_39,21_39,22_39
1_40,2_40,3_40,테040,4_40,5_40,6_40,010-0000-0039,7_40,8_40,9_40,10_40,11_40,12_40,13_40,14_40,15_40,16_40,17_40,18_40,19_40,20_40,21_40,22_40
1_41,2_41,3_41,테041,4_41,5_41,6_41,010-0000-0040,7_41,8_41,9_41,10_41,11_41,12_41,13_41,14_41,15_41,16_41,17_41,18_41,19_41,20_41,21_41,22_41
1_42,2_42,3_42,테042,4_42,5_42,6_42,010-0000-0041,7_42,8_42,9_42,10_42,11_42,12_42,13_42,14_42,15_42,16_42,17_42,18_42,19_42,20_42,21_42,22_42
1_43,2_43,3_43,테043,4_43,5_43,6_43,010-0000-0042,7_43,8_43,9_43,10_43,11_43,12_43,13_43,14_43,15_43,16_43,17_43,18_43,19_43,20_43,21_43,22_43
1_44,2_44,3_44,테044,4_44,5_44,6_44,010-0000-0043,7_44,8_44,9_44,10_44,11_44,12_44,13_44,14_44,15_44,16_44,17_44,18_44,19_44,20_44,21_44,22_44
1_45,2_45,3_45,테045,4_45,5_45,6_45,010-0000-0044,7_45,8_45,9_45,10_45,11_45,12_45,13_45,14_45,15_45,16_45,17_45,18_45,19_45,20_45,21_45,22_45
1_46,2_46,3_46,테046,4_46,5_46,6_46,010-0000-0045,7_46,8_46,9_46,10_46,11_46,12_46,13_46,14_46,15_46,16_46,17_46,18_46,19_46,20_46,21_46,22_46
1_47,2_47,3_47,테047,4_47,5_47,6_47,010-0000-0046,7_47,8_47,9_47,10_47,11_47,12_47,13_47,14_47,15_47,16_47,17_47,18_47,19_47,20_47,21_47,22_47
